 #Opacity coefficient HI (G2V)
 # 1/Lambda [mu m^-1]              k_bf [cm^2]               k_ff [cm^2]
   9.5238095238095237        2.2264257612787172E-027   8.1386507963097029E-028
   9.4339622641509440        2.2882511292795625E-027   8.3696669461356724E-028
   9.3457943925233646        2.3511813194087887E-027   8.6049889337992119E-028
   9.2592592592592595        2.4152251933065456E-027   8.8446559064143405E-028
   9.1743119266055047        2.4803915924389346E-027   9.0887070019680623E-028
   9.0909090909090917        2.5466893381855447E-027   9.3371813494328646E-028
   9.0090090090090094        2.6141272319256109E-027   9.5901180688768310E-028
   8.9285714285714288        2.6827140551228319E-027   9.8475562715714187E-028
   8.8495575221238933        2.7524585694088751E-027   1.0109535060096967E-027
   8.7719298245614041        2.8233695166656093E-027   1.0376093528446021E-027
   8.6956521739130430        2.8954556191060874E-027   1.0647270762124506E-027
   8.6206896551724146        2.9687255793543316E-027   1.0923105838250865E-027
   8.5470085470085468        3.0431880805239157E-027   1.1203637825653161E-027
   8.4745762711864412        3.1188517862954119E-027   1.1488905784964225E-027
   8.4033613445378155        3.1957253409927025E-027   1.1778948768714952E-027
   8.3333333333333339        3.2738173696581960E-027   1.2073805821425683E-027
   8.2644628099173545        3.3531364781269704E-027   1.2373515979695869E-027
   8.1967213114754092        3.4336912530998712E-027   1.2678118272291962E-027
   8.1300813008130088        3.5154902622155825E-027   1.2987651720233589E-027
   8.0645161290322580        3.5985420541217049E-027   1.3302155336878131E-027
   8.0000000000000000        3.6828551585448557E-027   1.3621668128003674E-027
   7.9365079365079367        3.7684380863598108E-027   1.3946229091890369E-027
   7.8740157480314963        3.8552993296577246E-027   1.4275877219400362E-027
   7.8125000000000000        3.9434473618134243E-027   1.4610651494056130E-027
   7.7519379844961236        4.0328906375518327E-027   1.4950590892117494E-027
   7.6923076923076925        4.1236375930134952E-027   1.5295734382657143E-027
   7.6335877862595423        4.2156966458192803E-027   1.5646120927634831E-027
   7.5757575757575761        4.3090761951342208E-027   1.6001789481970250E-027
   7.5187969924812030        4.4037846217305644E-027   1.6362778993614601E-027
   7.4626865671641793        4.4998302880500002E-027   1.6729128403620881E-027
   7.4074074074074074        4.5972215382651257E-027   1.7100876646212958E-027
   7.3529411764705879        4.6959666983401348E-027   1.7478062648853450E-027
   7.2992700729927007        4.7960740760907520E-027   1.7860725332310408E-027
   7.2463768115942031        4.8975519612434532E-027   1.8248903610722901E-027
   7.1942446043165464        5.0004086254939440E-027   1.8642636391665406E-027
   7.1428571428571432        5.1046523225649504E-027   1.9041962576211212E-027
   7.0921985815602833        5.2102912882633067E-027   1.9446921058994677E-027
   7.0422535211267610        5.3173337405363713E-027   1.9857550728272499E-027
   6.9930069930069934        5.4257878795277861E-027   2.0273890465983929E-027
   6.9444444444444446        5.5356618876325732E-027   2.0695979147810047E-027
   6.8965517241379306        5.6469639295516047E-027   2.1123855643232045E-027
   6.8493150684931505        5.7597021523454406E-027   2.1557558815588574E-027
   6.8027210884353737        5.8738846854875521E-027   2.1997127522132119E-027
   6.7567567567567570        5.9895196409169551E-027   2.2442600614084595E-027
   6.7114093959731544        6.1066151130902359E-027   2.2894016936691921E-027
   6.6666666666666670        6.2251791790330163E-027   2.3351415329277830E-027
   6.6225165562913908        6.3452198983908293E-027   2.3814834625296787E-027
   6.5789473684210522        6.4667453134794612E-027   2.4284313652386149E-027
   6.5359477124183005        6.5897634493347251E-027   2.4759891232417407E-027
   6.4935064935064934        6.7142823137617132E-027   2.5241606181546762E-027
   6.4516129032258061        6.8403098973834995E-027   2.5729497310264861E-027
   6.4102564102564106        6.9678541736893551E-027   2.6223603423445801E-027
   6.3694267515923570        7.0969230990824263E-027   2.6723963320395394E-027
   6.3291139240506329        7.2275246129269283E-027   2.7230615794898691E-027
   6.2893081761006293        7.3596666375948346E-027   2.7743599635266849E-027
   6.2500000000000000        7.4933570785121110E-027   2.8262953624383266E-027
   6.2111801242236027        7.6286038242044359E-027   2.8788716539749046E-027
   6.1728395061728394        7.7654147463424819E-027   2.9320927153527790E-027
   6.1349693251533743        7.9037976997867408E-027   2.9859624232589795E-027
   6.0975609756097562        8.0437605226318763E-027   3.0404846538555536E-027
   6.0606060606060606        8.1853110362506599E-027   3.0956632827838596E-027
   6.0240963855421690        8.3284570453374508E-027   3.1515021851687937E-027
   5.9880239520958085        8.4732063379512551E-027   3.2080052356229610E-027
   5.9523809523809526        8.6195666855583707E-027   3.2651763082507847E-027
   5.9171597633136095        8.7675458430746128E-027   3.3230192766525588E-027
   5.8823529411764710        8.9171515489071251E-027   3.3815380139284509E-027
   5.8479532163742691        9.0683915249958003E-027   3.4407363926824341E-027
   5.8139534883720927        9.2212734768543059E-027   3.5006182850261861E-027
   5.7803468208092488        9.3758050936107150E-027   3.5611875625829160E-027
   5.7471264367816088        9.5319940480477682E-027   3.6224480964911500E-027
   5.7142857142857144        9.6898479966427363E-027   3.6844037574084648E-027
   5.6818181818181817        9.8493745796069413E-027   3.7470584155151673E-027
   5.6497175141242941        1.0010581420924901E-026   3.8104159405179300E-027
   5.6179775280898880        1.0173476128393103E-026   3.8744802016533740E-027
   5.5865921787709496        1.0338066293658458E-026   3.9392550676916039E-027
   5.5555555555555554        1.0504359492256354E-026   4.0047444069397071E-027
   5.5248618784530388        1.0672363283648446E-026   4.0709520872451923E-027
   5.4945054945054945        1.0842085211260014E-026   4.1378819759993956E-027
   5.4644808743169397        1.1013532802517073E-026   4.2055379401408287E-027
   5.4347826086956523        1.1186713568883112E-026   4.2739238461585087E-027
   5.4054054054054053        1.1361635005895509E-026   4.3430435600952169E-027
   5.3763440860215050        1.1538304593201660E-026   4.4129009475507324E-027
   5.3475935828877006        1.1716729794594766E-026   4.4834998736850304E-027
   5.3191489361702127        1.1896918058049316E-026   4.5548442032214198E-027
   5.2910052910052912        1.2078876815756284E-026   4.6269378004496601E-027
   5.2631578947368425        1.2262613484158012E-026   4.6997845292290381E-027
   5.2356020942408374        1.2448135463982799E-026   4.7733882529913931E-027
   5.2083333333333330        1.2635450140279210E-026   4.8477528347441179E-027
   5.1813471502590671        1.2824564882450076E-026   4.9228821370731214E-027
   5.1546391752577323        1.3015487044286252E-026   4.9987800221457520E-027
   5.1282051282051286        1.3208223964000040E-026   5.0754503517136856E-027
   5.1020408163265305        1.3402782964258395E-026   5.1528969871157774E-027
   5.0761421319796955        1.3599171352215827E-026   5.2311237892808875E-027
   5.0505050505050502        1.3797396419547034E-026   5.3101346187306672E-027
   5.0251256281407040        1.3997465442479291E-026   5.3899333355823092E-027
   5.0000000000000000        1.4199385681824572E-026   5.4705237995512690E-027
   4.9751243781094523        1.4403164383011397E-026   5.5519098699539619E-027
   4.9504950495049505        1.4608808776116474E-026   5.6340954057104094E-027
   4.9261083743842367        1.4816326075896010E-026   5.7170842653468742E-027
   4.9019607843137258        1.5025723481816898E-026   5.8008803069984599E-027
   4.8780487804878048        1.5237008178087511E-026   5.8854873884116654E-027
   4.8543689320388346        1.5450187333688402E-026   5.9709093669469411E-027
   4.8309178743961354        1.5665268102402654E-026   6.0571500995811801E-027
   4.8076923076923075        1.5882257622846083E-026   6.1442134429102090E-027
   4.7846889952153111        1.6101163018497137E-026   6.2321032531512411E-027
   4.7619047619047619        1.6321991397726624E-026   6.3208233861452927E-027
   4.7393364928909953        1.6544749853827196E-026   6.4103776973595919E-027
   4.7169811320754720        1.6769445465042595E-026   6.5007700418899401E-027
   4.6948356807511740        1.6996085294596708E-026   6.5920042744630720E-027
   4.6728971962616823        1.7224676390722391E-026   6.6840842494389512E-027
   4.6511627906976747        1.7455225786690081E-026   6.7770138208130912E-027
   4.6296296296296298        1.7687740500836206E-026   6.8707968422188015E-027
   4.6082949308755756        1.7922227536591379E-026   6.9654371669294511E-027
   4.5871559633027523        1.8158693882508370E-026   7.0609386478606727E-027
   4.5662100456621006        1.8397146512289931E-026   7.1573051375725720E-027
   4.5454545454545459        1.8637592384816350E-026   7.2545404882718889E-027
   4.5248868778280542        1.8880038444172862E-026   7.3526485518141586E-027
   4.5045045045045047        1.9124491619676837E-026   7.4516331797058280E-027
   4.4843049327354256        1.9370958825904775E-026   7.5514982231063710E-027
   4.4642857142857144        1.9619446962719139E-026   7.6522475328303560E-027
   4.4444444444444446        1.9869962915294960E-026   7.7538849593495308E-027
   4.4247787610619467        2.0122513554146276E-026   7.8564143527948317E-027
   4.4052863436123344        2.0377105735152395E-026   7.9598395629584226E-027
   4.3859649122807021        2.0633746299583965E-026   8.0641644392956892E-027
   4.3668122270742362        2.0892442074128850E-026   8.1693928309272082E-027
   4.3478260869565215        2.1153199870917882E-026   8.2755285866407125E-027
   4.3290043290043290        2.1416026487550357E-026   8.3825755548930192E-027
   4.3103448275862073        2.1680928707119444E-026   8.4905375838119529E-027
   4.2918454935622314        2.1947913298237351E-026   8.5994185211982478E-027
   4.2735042735042734        2.2216987015060352E-026   8.7092222145274081E-027
   4.2553191489361701        2.2488156597313667E-026   8.8199525109515896E-027
   4.2372881355932206        2.2761428770316144E-026   8.9316132573014223E-027
   4.2194092827004219        2.3036810245004783E-026   9.0442083000878535E-027
   4.2016806722689077        2.3314307717959110E-026   9.1577414855039308E-027
   4.1841004184100417        2.3593927871425393E-026   9.2722166594265995E-027
   4.1666666666666670        2.3875677373340683E-026   9.3876376674184822E-027
   4.1493775933609962        2.4159562877356710E-026   9.5040083547296137E-027
   4.1322314049586772        2.4445591022863613E-026   9.6213325662991870E-027
   4.1152263374485596        2.4733768435013555E-026   9.7396141467572639E-027
   4.0983606557377046        2.5024101724744120E-026   9.8588569404264884E-027
   4.0816326530612246        2.5316597488801633E-026   9.9790647913237668E-027
   4.0650406504065044        2.5611262309764296E-026   1.0100241543161928E-026
   4.0485829959514170        2.5908102756065138E-026   1.0222391039351393E-026
   4.0322580645161290        2.6207125382014901E-026   1.0345517123001806E-026
   4.0160642570281126        2.6508336727824757E-026   1.0469623636923653E-026
   4.0000000000000000        2.6811743319628821E-026   1.0594714423629874E-026
   3.9840637450199203        2.7117351669506611E-026   1.0720793325337455E-026
   3.9682539682539684        2.7425168275505331E-026   1.0847864183969002E-026
   3.9525691699604741        2.7735199621661980E-026   1.0975930841154310E-026
   3.9370078740157481        2.8047452178025413E-026   1.1104997138231901E-026
   3.9215686274509802        2.8361932400678181E-026   1.1235066916250573E-026
   3.9062500000000000        2.8678646731758288E-026   1.1366144015970906E-026
   3.8910505836575875        2.8997601599480815E-026   1.1498232277866773E-026
   3.8759689922480618        2.9318803418159362E-026   1.1631335542126833E-026
   3.8610038610038608        2.9642258588227445E-026   1.1765457648656015E-026
   3.8461538461538463        2.9967973496259702E-026   1.1900602437076965E-026
   3.8314176245210727        3.0295954514992982E-026   1.2036773746731523E-026
   3.8167938931297711        3.0626208003347362E-026   1.2173975416682150E-026
   3.8022813688212929        3.0958740306446915E-026   1.2312211285713341E-026
   3.7878787878787881        3.1293557755640532E-026   1.2451485192333074E-026
   3.7735849056603774        3.1630666668522473E-026   1.2591800974774168E-026
   3.7593984962406015        3.1970073348952844E-026   1.2733162470995707E-026
   3.7453183520599249        3.2311784087078023E-026   1.2875573518684398E-026
   3.7313432835820897        3.2655805159350865E-026   1.3019037955255932E-026
   3.7174721189591078        3.3002142828550844E-026   1.3163559617856364E-026
   3.7037037037037037        3.3350803343804054E-026   1.3309142343363413E-026
   3.6900369003690039        3.3701792940603184E-026   1.3455789968387829E-026
   3.6764705882352939        3.4055117840827209E-026   1.3603506329274678E-026
   3.6630036630036629        3.4410784252761171E-026   1.3752295262104682E-026
   3.6496350364963503        3.4768798371115651E-026   1.3902160602695480E-026
   3.6363636363636362        3.5129166377046306E-026   1.4053106186602935E-026
   3.6231884057971016        3.5491894438173183E-026   1.4205135849122413E-026
   3.6101083032490973        3.5856988708599962E-026   1.4358253425290004E-026
   3.5971223021582732        3.6224455328933107E-026   1.4512462749883835E-026
   3.5842293906810037        3.6594300426300890E-026   1.4667767657425249E-026
   3.5714285714285716        3.6966530114372304E-026   1.4824171982180095E-026
   3.5587188612099645        3.7341150493375916E-026   1.4981679558159895E-026
   3.5460992907801416        3.7718167650118543E-026   1.5140294219123086E-026
   3.5335689045936394        3.8097587658003906E-026   1.5300019798576211E-026
   3.5211267605633805        3.8479416577051157E-026   1.5460860129775122E-026
   3.5087719298245612        3.8863660453913224E-026   1.5622819045726125E-026
   3.4965034965034967        3.9250325321895232E-026   1.5785900379187207E-026
   3.4843205574912890        3.9639417200972640E-026   1.5950107962669128E-026
   3.4722222222222223        4.0030942097809425E-026   1.6115445628436640E-026
   3.4602076124567476        4.0424906005776041E-026   1.6281917208509590E-026
   3.4482758620689653        4.0821314904967423E-026   1.6449526534664056E-026
   3.4364261168384878        4.1220174762220774E-026   1.6618277438433482E-026
   3.4246575342465753        4.1621491531133339E-026   1.6788173751109787E-026
   3.4129692832764507        4.2025271152080037E-026   1.6959219303744473E-026
   3.4013605442176869        4.2431519552231024E-026   1.7131417927149730E-026
   3.3898305084745761        4.2840242645569186E-026   1.7304773451899497E-026
   3.3783783783783785        4.3251446332907445E-026   1.7479289708330575E-026
   3.3670033670033672        4.3665136501906128E-026   1.7654970526543676E-026
   3.3557046979865772        4.4081319027090161E-026   1.7831819736404504E-026
   3.3444816053511706        4.4499999769866113E-026   1.8009841167544789E-026
   3.3333333333333335        4.4921184578539272E-026   1.8189038649363352E-026
   3.3222591362126246        4.5344879288330573E-026   1.8369416011027126E-026
   3.3112582781456954        4.5771089721393454E-026   1.8550977081472200E-026
   3.3003300330033003        4.6199821686830620E-026   1.8733725689404834E-026
   3.2894736842105261        4.6631080980710751E-026   1.8917665663302477E-026
   3.2786885245901640        4.7064873386085010E-026   1.9102800831414769E-026
   3.2679738562091503        4.7501204673003685E-026   1.9289135021764543E-026
   3.2573289902280131        4.7940080598532563E-026   1.9476672062148812E-026
   3.2467532467532467        4.8381506906769248E-026   1.9665415780139751E-026
   3.2362459546925568        4.8825489328859518E-026   1.9855370003085693E-026
   3.2258064516129030        4.9272033583013433E-026   2.0046538558112077E-026
   3.2154340836012860        4.9721145374521542E-026   2.0238925272122388E-026
   3.2051282051282053        5.0172830395770805E-026   2.0432533971799171E-026
   3.1948881789137382        5.0627094326260666E-026   2.0627368483604931E-026
   3.1847133757961785        5.1083942832618842E-026   2.0823432633783086E-026
   3.1746031746031744        5.1543381568617171E-026   2.1020730248358890E-026
   3.1645569620253164        5.2005416175187353E-026   2.1219265153140381E-026
   3.1545741324921135        5.2470052280436567E-026   2.1419041173719288E-026
   3.1446540880503147        5.2937295499663055E-026   2.1620062135471932E-026
   3.1347962382445140        5.3407151435371617E-026   2.1822331863560150E-026
   3.1250000000000000        5.3879625677289130E-026   2.2025854182932180E-026
   3.1152647975077881        5.4354723802379758E-026   2.2230632918323564E-026
   3.1055900621118013        5.4832451374860349E-026   2.2436671894258021E-026
   3.0959752321981426        5.5312813946215586E-026   2.2643974935048358E-026
   3.0864197530864197        5.5795817055213185E-026   2.2852545864797281E-026
   3.0769230769230771        5.6281466227918865E-026   2.3062388507398336E-026
   3.0674846625766872        5.6769766977711524E-026   2.3273506686536717E-026
   3.0581039755351682        5.7260724805297989E-026   2.3485904225690123E-026
   3.0487804878048781        5.7754345198727953E-026   2.3699584948129660E-026
   3.0395136778115504        5.8250633633408827E-026   2.3914552676920594E-026
   3.0303030303030303        5.8749595572120320E-026   2.4130811234923273E-026
   3.0211480362537766        5.9251236465029304E-026   2.4348364444793911E-026
   3.0120481927710845        5.9755561749704167E-026   2.4567216128985411E-026
   3.0030030030030028        6.0262576851129580E-026   2.4787370109748199E-026
   2.9940119760479043        6.0772287181720726E-026   2.5008830209131048E-026
   2.9850746268656718        6.1284698141337924E-026   2.5231600248981833E-026
   2.9761904761904763        6.1799815117300758E-026   2.5455684050948417E-026
   2.9673590504451037        6.2317643484402471E-026   2.5681085436479358E-026
   2.9585798816568047        6.2838188604924115E-026   2.5907808226824761E-026
   2.9498525073746311        6.3361455828648718E-026   2.6135856243037026E-026
   2.9411764705882355        6.3887450492875320E-026   2.6365233305971652E-026
   2.9325513196480939        6.4416177922433043E-026   2.6595943236288009E-026
   2.9239766081871346        6.4947643429694994E-026   2.6827989854450099E-026
   2.9154518950437316        6.5481852314592186E-026   2.7061376980727296E-026
   2.9069767441860463        6.6018809864627342E-026   2.7296108435195165E-026
   2.8985507246376812        6.6558521354888702E-026   2.7532188037736149E-026
   2.8901734104046244        6.7100992048063727E-026   2.7769619608040374E-026
   2.8818443804034581        6.7646227194452696E-026   2.8008406965606341E-026
   2.8735632183908044        6.8194232031982372E-026   2.8248553929741694E-026
   2.8653295128939829        6.8745011786219474E-026   2.8490064319563964E-026
   2.8571428571428572        6.9298571670384226E-026   2.8732941954001252E-026
   2.8490028490028489        6.9854916885363648E-026   2.8977190651792990E-026
   2.8409090909090908        7.0414052619725093E-026   2.9222814231490672E-026
   2.8328611898016995        7.0975984049729399E-026   2.9469816511458539E-026
   2.8248587570621471        7.1540716339344164E-026   2.9718201309874261E-026
   2.8169014084507040        7.2108254640257030E-026   2.9967972444729703E-026
   2.8089887640449440        7.2678604091888715E-026   3.0219133733831594E-026
   2.8011204481792715        7.3251769821406095E-026   3.0471688994802226E-026
   2.7932960893854748        7.3827756943735341E-026   3.0725642045080131E-026
   2.7855153203342620        7.4406570561574736E-026   3.0980996701920795E-026
   2.7777777777777777        7.4988215765407687E-026   3.1237756782397311E-026
   2.7700831024930750        7.5572697633515636E-026   3.1495926103401072E-026
   2.7624309392265194        7.6160021231990664E-026   3.1755508481642435E-026
   2.7548209366391183        7.6750191614748534E-026   3.2016507733651406E-026
   2.7472527472527473        7.7343213823541111E-026   3.2278927675778277E-026
   2.7397260273972601        6.9893991011395127E-028   3.2542772124194327E-026
   2.7322404371584699        7.0452092305234234E-028   3.2808044894892420E-026
   2.7247956403269753        7.1013089937824723E-028   3.3074749803687700E-026
   2.7173913043478262        7.1576990778707403E-028   3.3342890666218237E-026
   2.7100271002710028        7.2143801693290789E-028   3.3612471297945657E-026
   2.7027027027027026        7.2713529542855849E-028   3.3883495514155757E-026
   2.6954177897574123        7.3286181184560919E-028   3.4155967129959209E-026
   2.6881720430107525        7.3861763471446352E-028   3.4429889960292107E-026
   2.6809651474530831        7.4440283252439503E-028   3.4705267819916652E-026
   2.6737967914438503        7.5021747372359253E-028   3.4982104523421779E-026
   2.6666666666666665        7.5606162671921006E-028   3.5260403885223719E-026
   2.6595744680851063        7.6193535987741128E-028   3.5540169719566674E-026
   2.6525198938992043        7.6783874152341871E-028   3.5821405840523390E-026
   2.6455026455026456        7.7377183994155892E-028   3.6104116061995796E-026
   2.6385224274406331        7.7973472337530999E-028   3.6388304197715600E-026
   2.6315789473684212        7.8572746002734777E-028   3.6673974061244833E-026
   2.6246719160104988        7.9175011805959136E-028   3.6961129465976537E-026
   2.6178010471204187        7.9780276559324963E-028   3.7249774225135315E-026
   2.6109660574412534        8.0388547070886693E-028   3.7539912151777894E-026
   2.6041666666666665        8.0999830144636874E-028   3.7831547058793750E-026
   2.5974025974025974        8.1614132580510588E-028   3.8124682758905684E-026
   2.5906735751295336        8.2231461174390182E-028   3.8419323064670357E-026
   2.5839793281653747        8.2851822718109570E-028   3.8715471788478955E-026
   2.5773195876288661        8.3475223999458859E-028   3.9013132742557686E-026
   2.5706940874035991        8.4101671802188613E-028   3.9312309738968334E-026
   2.5641025641025643        8.4731172906014532E-028   3.9613006589608896E-026
   2.5575447570332481        8.5363734086621728E-028   3.9915227106214085E-026
   2.5510204081632653        8.5999362115669133E-028   4.0218975100355941E-026
   2.5445292620865141        8.6638063760793965E-028   4.0524254383444295E-026
   2.5380710659898478        8.7279845785616015E-028   4.0831068766727435E-026
   2.5316455696202533        8.7924714949742009E-028   4.1139422061292577E-026
   2.5252525252525251        8.8572678008769996E-028   4.1449318078066396E-026
   2.5188916876574305        8.9223741714293552E-028   4.1760760627815679E-026
   2.5125628140703520        8.9877912813906260E-028   4.2073753521147689E-026
   2.5062656641604009        9.0535198051205765E-028   4.2388300568510895E-026
   2.5000000000000000        9.1195604165798240E-028   4.2704405580195308E-026
   2.4937655860349128        9.1859137893302422E-028   4.3022072366333213E-026
   2.4875621890547261        9.2525805965354058E-028   4.3341304736899471E-026
   2.4813895781637716        9.3195615109609982E-028   4.3662106501712283E-026
   2.4752475247524752        9.3868572049752324E-028   4.3984481470433512E-026
   2.4691358024691357        9.4544683505492694E-028   4.4308433452569263E-026
   2.4630541871921183        9.5223956192576339E-028   4.4633966257470483E-026
   2.4570024570024569        9.5906396822786256E-028   4.4961083694333314E-026
   2.4509803921568629        9.6592012103947471E-028   4.5289789572199759E-026
   2.4449877750611249        9.7280808739930940E-028   4.5620087699958041E-026
   2.4390243902439024        9.7972793430657777E-028   4.5951981886343253E-026
   2.4330900243309004        9.8667972872103217E-028   4.6285475939937725E-026
   2.4271844660194173        9.9366353756300817E-028   4.6620573669171602E-026
   2.4213075060532687        1.0006794277134645E-027   4.6957278882323294E-026
   2.4154589371980677        1.0077274660140227E-027   4.7295595387520002E-026
   2.4096385542168677        1.0148077192670074E-027   4.7635526992738184E-026
   2.4038461538461537        1.0219202542354874E-027   4.7977077505804031E-026
   2.3980815347721824        1.0290651376433150E-027   4.8320250734394004E-026
   2.3923444976076556        1.0362424361751642E-027   4.8665050486035225E-026
